7f000001:2328	95805:475	34627	11901
7f000001:2328	95805:476	23012	21991
7f000001:2328	95805:477	2198	2561
7f000001:2328	95805:478	57553	587
7f000001:2328	95805:479	28023	6996
7f000001:2328	95805:480	34955	9962
7f000001:2328	95805:481	143183	37
7f000001:2328	95805:482	26719	21630
7f000001:2328	95805:483	14075	31643
7f000001:2328	95805:484	60509	3884
7f000001:2328	95805:485	51693	69503
7f000001:2328	95805:486	61793	5263
7f000001:2328	95805:487	80287	3426
7f000001:2328	95805:488	2936	25124
7f000001:2328	95805:489	56788	142
7f000001:2328	95805:490	57006	12502
7f000001:2328	95805:491	112303	17542
7f000001:2328	95805:492	35250	17328
7f000001:2328	95805:493	40442	19353
7f000001:2328	95805:494	181790	51537
7f000001:2328	95805:495	31962	2734
7f000001:2328	95805:496	27798	81478
7f000001:2328	95805:497	5247	14273
7f000001:2328	95805:498	22354	1139
7f000001:2328	95805:499	92102	4856
7f000001:2328	95805:500	38828	1288
7f000001:2328	95805:501	17365	9332
7f000001:2328	95805:502	13884	5474
7f000001:2328	95805:503	92971	2372
7f000001:2328	95805:504	17906	3876
7f000001:2328	95805:505	12712	4694
7f000001:2328	95805:506	29468	18024
7f000001:2328	95805:507	1451	38686
7f000001:2328	95805:508	84	10041
7f000001:2328	95805:509	26181	1907
7f000001:2328	95805:510	6535	8779
7f000001:2328	95805:511	71041	48943
7f000001:2328	95805:512	42802	30270
7f000001:2328	95805:513	11790	14609
7f000001:2328	95805:514	15576	26842
7f000001:2328	95805:515	44603	10540
7f000001:2328	95805:516	96771	23057
7f000001:2328	95805:517	57225	61882
7f000001:2328	95805:518	24400	386
7f000001:2328	95805:519	31078	48671
7f000001:2328	95805:520	48433	5730
7f000001:2328	95805:521	126888	15213
7f000001:2328	95805:522	13214	11689
7f000001:2328	95805:523	75487	6038
7f000001:2328	95805:524	1885	649
7f000001:2328	95805:525	20600	9570
7f000001:2328	95805:526	27	2813
7f000001:2328	95805:527	17430	39892
7f000001:2328	95805:528	6194	7781
7f000001:2328	95805:529	138797	1728
7f000001:2328	95805:530	70925	10887
7f000001:2328	95805:531	50300	1621
7f000001:2328	95805:532	39624	4777
7f000001:2328	95805:533	5887	72006
7f000001:2328	95805:534	131811	1974
7f000001:2328	95805:535	53736	5533
7f000001:2328	95805:536	29234	47302
7f000001:2328	95805:537	11537	4083
7f000001:2328	95805:538	44442	4947
7f000001:2328	95805:539	29991	20724
7f000001:2328	95805:540	147222	11369
7f000001:2328	95805:541	112743	3502
7f000001:2328	95805:542	68452	4628
7f000001:2328	95805:543	218272	10240
7f000001:2328	95805:544	69164	18349
7f000001:2328	95805:545	15585	2165
7f000001:2328	95805:546	25148	4382
7f000001:2328	95805:547	6	5316
7f000001:2328	95805:548	20264	8851
7f000001:2328	95805:549	22635	9717
7f000001:2328	95805:550	2034	6110
7f000001:2328	95805:551	54065	38376
7f000001:2328	95805:552	6153	2978
7f000001:2328	95805:553	26241	1531
7f000001:2328	95805:554	146776	14152
7f000001:2328	95805:555	7151	48878
7f000001:2328	95805:556	96376	12868
7f000001:2328	95805:557	175074	5097
7f000001:2328	95805:558	24652	640
7f000001:2328	95805:559	30239	4067
7f000001:2328	95805:560	14121	7041
7f000001:2328	95805:561	84648	83290
7f000001:2328	95805:562	99574	85893
7f000001:2328	95805:563	67580	125969
7f000001:2328	95805:564	4752	45200
7f000001:2328	95805:565	10278	67647
7f000001:2328	95805:566	6940	7474
7f000001:2328	95805:567	78626	5172
7f000001:2328	95805:568	19491	29095
7f000001:2328	95805:569	26781	33239
7f000001:2328	95805:570	44394	13640
7f000001:2328	95805:571	37475	1266
7f000001:2328	95805:572	1629	49125
7f000001:2328	95805:573	68713	10332
7f000001:2328	95805:574	228964	14886
7f000001:2328	95805:575	53838	51843
7f000001:2328	95805:576	101044	11725
7f000001:2328	95805:577	27568	16736
7f000001:2328	95805:578	11915	30886
7f000001:2328	95805:579	24511	392
7f000001:2328	95805:580	46891	12193
7f000001:2328	95805:581	63365	7929
7f000001:2328	95805:582	263346	6730
7f000001:2328	95805:583	79778	21848
7f000001:2328	95805:584	87111	18475
7f000001:2328	95805:585	17719	6359
7f000001:2328	95805:586	47944	18808
7f000001:2328	95805:587	43628	24512
7f000001:2328	95805:588	111901	4803
7f000001:2328	95805:589	40446	6814
7f000001:2328	95805:590	59174	18242
7f000001:2328	95805:591	316908	6943
7f000001:2328	95805:592	36524	14764
7f000001:2328	95805:593	195365	6414
7f000001:2328	95805:594	30461	38812
7f000001:2328	95805:595	17531	25873
7f000001:2328	95805:596	26868	42063
7f000001:2328	95805:597	26181	971
7f000001:2328	95805:598	204321	21347
7f000001:2328	95805:599	121438	15143
7f000001:2328	95805:600	94303	53052
7f000001:2328	95805:601	52355	16171
7f000001:2328	95805:602	72838	3634
7f000001:2328	95805:603	36559	5928
7f000001:2328	95805:604	27866	2484
7f000001:2328	95805:605	23128	8226
7f000001:2328	95805:606	38614	52515
7f000001:2328	95805:607	27150	4099
7f000001:2328	95805:608	2223	102
7f000001:2328	95805:609	5906	29197
7f000001:2328	95805:610	21284	16695
7f000001:2328	95805:611	3418	33024
7f000001:2328	95805:612	11796	4121
7f000001:2328	95805:613	143579	16738
7f000001:2328	95805:614	83848	2094
7f000001:2328	95805:615	20975	18209
7f000001:2328	95805:616	137251	4669
7f000001:2328	95805:617	31056	1330
7f000001:2328	95805:618	107292	1930
7f000001:2328	95805:619	30416	25853
7f000001:2328	95805:620	190069	15255
7f000001:2328	95805:621	88953	1430
7f000001:2328	95805:622	99201	30654
7f000001:2328	95805:623	46267	31138
7f000001:2328	95805:624	18644	5414
7f000001:2328	95805:625	27841	5198
7f000001:2328	95805:626	13327	16734
7f000001:2328	95805:627	21543	8495
7f000001:2328	95805:628	74126	27931
7f000001:2328	95805:629	8584	14293
7f000001:2328	95805:630	15833	37448
7f000001:2328	95805:631	172098	3130
7f000001:2328	95805:632	15183	21859
7f000001:2328	95805:633	7113	40094
7f000001:2328	95805:634	4571	19498
7f000001:2328	95805:635	112533	26865
7f000001:2328	95805:636	41708	29326
7f000001:2328	95805:637	26009	28028
7f000001:2328	95805:638	14799	57519
7f000001:2328	95805:639	63406	4206
7f000001:2328	95805:640	4013	7500
7f000001:2328	95805:641	72443	1911
7f000001:2328	95805:642	8359	15726
7f000001:2328	95805:643	7888	3542
7f000001:2328	95805:644	180720	8198
7f000001:2328	95805:645	13491	17513
7f000001:2328	95805:646	38938	232
7f000001:2328	95805:647	22894	15975
7f000001:2328	95805:648	85180	22338
7f000001:2328	95805:649	13987	9530
7f000001:2328	95805:650	1669	31800
7f000001:2328	95805:651	72192	5762
7f000001:2328	95805:652	39961	8852
7f000001:2328	95805:653	10469	3305
7f000001:2328	95805:654	16758	10238
7f000001:2328	95805:655	649804	65335
7f000001:2328	95805:656	8002	23479
7f000001:2328	95805:657	30491	8863
7f000001:2328	95805:658	13123	32052
7f000001:2328	95805:659	42326	12618
7f000001:2328	95805:660	9692	17249
7f000001:2328	95805:661	25828	15393
7f000001:2328	95805:662	41583	15310
7f000001:2328	95805:663	17880	3491
7f000001:2328	95805:664	34104	137170
7f000001:2328	95805:665	21126	167
7f000001:2328	95805:666	2215	14096
7f000001:2328	95805:667	122321	12883
7f000001:2328	95805:668	81226	58768
7f000001:2328	95805:669	5648	5783
7f000001:2328	95805:670	80328	49757
7f000001:2328	95805:671	42332	7980
7f000001:2328	95805:672	69895	33115
7f000001:2328	95805:673	92527	30732
7f000001:2328	95805:674	73075	21923
7f000001:2328	95805:675	3628	11121
7f000001:2328	95805:676	755	4426
7f000001:2328	95805:677	52544	32339
7f000001:2328	95805:678	103724	22518
7f000001:2328	95805:679	61356	8833
7f000001:2328	95805:680	81388	20291
7f000001:2328	95805:681	33749	16554
7f000001:2328	95805:682	53047	21636
7f000001:2328	95805:683	75011	23250
7f000001:2328	95805:684	48191	8253
7f000001:2328	95805:685	133390	15106
7f000001:2328	95805:686	166850	19646
7f000001:2328	95805:687	55662	1659
7f000001:2328	95805:688	21201	8430
7f000001:2328	95805:689	149127	13568
7f000001:2328	95805:690	59291	16195
7f000001:2328	95805:691	30758	1183
7f000001:2328	95805:692	106609	1466
