7f000001:881f	5597:66	617107695	617828678	3	25706
7f000001:881f	5597:67	617284735	618029038	3	42910
7f000001:881f	5597:68	617473567	618242021	3	35391
7f000001:881f	5597:69	617669075	618509215	3	56704
7f000001:881f	5597:70	617858172	618679678	3	48542
7f000001:881f	5597:71	618058711	618867375	3	55023
7f000001:881f	5597:72	618359794	619057074	3	48957
7f000001:881f	5597:73	618538981	619247454	3	51606
7f000001:881f	5597:74	618684274	619502520	3	59333
7f000001:881f	5597:75	618895269	619756063	3	38079
7f000001:881f	5597:76	619085275	619944198	3	25153
7f000001:881f	5597:77	619275291	620127336	3	81312
7f000001:881f	5597:78	619535912	620324896	3	108237
7f000001:881f	5597:79	619789382	620582679	3	114600
7f000001:881f	5597:80	619971972	620773169	3	110633
7f000001:881f	5597:81	620155541	620976728	3	85284
7f000001:881f	5597:82	620412639	621325930	3	118208
7f000001:881f	5597:83	620611182	621856376	4	92571
7f000001:881f	5597:84	620800768	621998322	5	218503
7f000001:881f	5597:85	621005271	622232697	5	180873
7f000001:881f	5597:86	621322472	622462838	5	170206
7f000001:881f	5597:87	621566732	622715346	4	148931
7f000001:881f	5597:88	621569069	622913520	5	129829
7f000001:881f	5597:89	621885976	623077632	5	91567
7f000001:881f	5597:90	622089030	623203222	4	87683
7f000001:881f	5597:91	622491261	623394814	4	74032
7f000001:881f	5597:92	622577008	623647830	4	100043
7f000001:881f	5597:93	622720179	623908705	4	64724
7f000001:881f	5597:94	623105447	624103856	3	36078
7f000001:881f	5597:95	623391752	624253309	3	62464
7f000001:881f	5597:96	623644589	624434800	3	102852
7f000001:881f	5597:97	623938032	624574815	3	112196
7f000001:881f	5597:98	624131394	624888068	2	85665
7f000001:881f	5597:99	624431712	625136072	2	49236
7f000001:881f	5597:100	624579524	625369724	2	95182
7f000001:881f	5597:101	624927245	625673471	2	78592
7f000001:881f	5597:102	625173442	625861160	3	47322
7f000001:881f	5597:103	625403111	626097714	2	26516
7f000001:881f	5597:104	625670232	626269522	2	13982
7f000001:881f	5597:105	625894071	626426145	2	20890
7f000001:881f	5597:106	626152984	626626390	2	63070
7f000001:881f	5597:107	626297551	626869846	2	50702
7f000001:881f	5597:108	626509372	627173598	2	9051
7f000001:881f	5597:109	626866075	627423743	1	7368
7f000001:881f	5597:110	627206509	627820034	1	10659
7f000001:881f	5597:111	627455518	628075929	2	48919
7f000001:881f	5597:112	627457936	628353601	1	6613
7f000001:881f	5597:113	628361347	628594724	1	19332
7f000001:881f	5597:114	628591192	628804796	1	17453
7f000001:881f	5597:115	628809324	629021240	1	2246
7f000001:881f	5597:116	629018045	629206799	1	4942
7f000001:881f	5597:117	629211276	629357356	1	52820
7f000001:881f	5597:118	629354329	629494302	1	61993
7f000001:881f	5597:119	629548237	629700613	1	12964
7f000001:881f	5597:120	629821504	629986000	1	8494
7f000001:881f	5597:121	630181174	630330382	1	1108
7f000001:881f	5597:122	630462946	630633392	1	9128
7f000001:881f	5597:123	630637893	630798717	1	4575
7f000001:881f	5597:124	630932597	631182850	1	20587
7f000001:881f	5597:125	631187411	631456293	1	15319
7f000001:881f	5597:126	631452595	631677856	1	20046
7f000001:881f	5597:127	631673990	631911532	1	17657
7f000001:881f	5597:128	631916235	632134803	1	579
7f000001:881f	5597:129	632139580	632356335	1	3755
7f000001:881f	5597:130	632353091	632576120	1	6362
7f000001:881f	5597:131	632580518	632811487	1	790
7f000001:881f	5597:132	632808233	633027066	1	7950
7f000001:881f	5597:133	633024008	633255965	1	8833
7f000001:881f	5597:134	633252674	633412868	1	14537
7f000001:881f	5597:135	633417107	633612739	1	15453
7f000001:881f	5597:136	633666838	633826463	1	18361
7f000001:881f	5597:137	633965305	634148640	1	24992
7f000001:881f	5597:138	634218140	634394567	1	16415
7f000001:881f	5597:139	634531626	634690642	1	10700
7f000001:881f	5597:140	634695093	634879846	1	11261
7f000001:881f	5597:141	635047573	635191356	1	5984
7f000001:881f	5597:142	635245724	635410141	1	9051
7f000001:881f	5597:143	635463697	635793817	1	76376
7f000001:881f	5597:144	635798934	636011458	1	1048
7f000001:881f	5597:145	636008357	636201916	1	65
7f000001:881f	5597:146	636206209	636362549	1	11124
